0|0|0||0|10000|1|100|0|0|0||268435456|100100|2|50|0|0|0||1073741824|1000|99|100|0|0|0||0|10200|1|50|0|0|0||268435456|100200|2|40|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0||0||test_param0|
1|1|1||1073741824|1000|1|100|0|0|0||1073741824|1001|1|100|0|0|0||1073741824|2001|1|300|0|0|0||1073741824|1003|1|100|0|0|0||1073741824|1004|1|100|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0||0||騎士テスト_回復薬×1【確定】武器素材|
2|2|10||-1|0|0|375|100|150|1||1073741824|1010|2|20|100|150|0||1073741824|1010|1|30|100|150|0||1073741824|1013|2|20|100|150|0||1073741824|1013|1|30|100|150|0||1073741824|1023|1|50|100|150|0||1073741824|1001|3|50|100|150|0||1073741824|1001|1|50|100|150|0||0|150600|1||0||シミュレータテスト|
32|50|8||-1|0|0|100|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||536870912|117|1||0||古砦の囚人|
3C|60|10||-1|0|0|100|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|1||0||古砦1の敵NPC|
46|70|10||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|1||0||坑道1の徘徊ゴースト用|
50|80|10||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|1||0||鍛冶屋|
5A|90|10||-1|0|0|100|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|150600|1||0||王城4　三銃士A　1|
64|100|10||-1|0|0|100|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|21800|1||0||王城4　三銃士B　1|
6E|110|10||-1|0|0|100|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|0|0|0|0|0|0||0|130400|1||0||王城4　三銃士C　1|
